Chip Run Info,S:\Genomics\Real_time_PCR\Projects\Fluidigm\Kulesa_Lab_Fluidigm\1361935219_MORRISON_KULESA_STOWERS_Integrate & Switch_20140204\ChipRun.bml,1361935219,96.96 (136x),GE 96x96 Standard v1,ROX,FAM-MGB,2/4/2014 6:06:49 PM,01:35:26,BIOMARK046
Application Version,3.1.3
Application Build,20111121.1125
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S96-A01,T45_2,Unknown,1,Adam10,Test,26.2640326429349,0.96,Pass,0.0104468905922281
S96-A02,T45_2,Unknown,1,Ccl19,Test,999,0,Fail,0.0104468905922281
S96-A03,T45_2,Unknown,1,Cdh7,Test,23.5627576088256,0.97,Pass,0.0104468905922281
S96-A04,T45_2,Unknown,1,Ednra,Test,999,0,Fail,0.0104468905922281
S96-A05,T45_2,Unknown,1,Ephb3,Test,25.8107080521377,0.85,Pass,0.0104468905922281
S96-A06,T45_2,Unknown,1,Gpc3,Test,999,0,Fail,0.0104468905922281
S96-A07,T45_2,Unknown,1,Itgav,Test,999,0,Fail,0.0104468905922281
S96-A08,T45_2,Unknown,1,Mmp9,Test,999,0,Fail,0.0104468905922281
S96-A09,T45_2,Unknown,1,Nrp1,Test,26.2243215658113,0.98,Pass,0.0104468905922281
S96-A10,T45_2,Unknown,1,Pkp2,Test,19.0810284412159,0.95,Pass,0.0104468905922281
S96-A11,T45_2,Unknown,1,Spon1,Test,24.5683499292657,0.9,Pass,0.0104468905922281
S96-A12,T45_2,Unknown,1,Gapdh,Test,22.5383184289057,0.9,Pass,0.0104468905922281
S96-A13,T45_2,Unknown,1,Adam33,Test,999,0,Fail,0.0104468905922281
S96-A14,T45_2,Unknown,1,Ccr4,Test,999,0,Fail,0.0104468905922281
S96-A15,T45_2,Unknown,1,Cfc1b,Test,999,0,Fail,0.0104468905922281
S96-A16,T45_2,Unknown,1,Elav4,Test,999,0,Fail,0.0104468905922281
S96-A17,T45_2,Unknown,1,Erbb2,Test,25.5490333211763,0.88,Pass,0.0104468905922281
S96-A18,T45_2,Unknown,1,Hand2,Test,999,0,Fail,0.0104468905922281
S96-A19,T45_2,Unknown,1,Itgb1,Test,22.4835668878846,0.93,Pass,0.0104468905922281
S96-A20,T45_2,Unknown,1,Msx1,Test,999,0,Fail,0.0104468905922281
S96-A21,T45_2,Unknown,1,Nrp2,Test,21.7110988689738,0.97,Pass,0.0104468905922281
S96-A22,T45_2,Unknown,1,Robo1,Test,22.9594501087661,0.95,Pass,0.0104468905922281
S96-A23,T45_2,Unknown,1,Tfap2a,Test,24.3781749145778,0.97,Pass,0.0104468905922281
S96-A24,T45_2,Unknown,1,Hprt,Test,999,0,Fail,0.0104468905922281
S96-A25,T45_2,Unknown,1,Angpt2,Test,999,0,Fail,0.0104468905922281
S96-A26,T45_2,Unknown,1,Ccr5,Test,23.2395038609847,0.97,Pass,0.0104468905922281
S96-A27,T45_2,Unknown,1,Col2a1,Test,22.1798933431242,0.9,Pass,0.0104468905922281
S96-A28,T45_2,Unknown,1,Epha1,Test,999,0,Fail,0.0104468905922281
S96-A29,T45_2,Unknown,1,Fgf4,Test,999,0,Fail,0.0104468905922281
S96-A30,T45_2,Unknown,1,Il8,Test,999,0,Fail,0.0104468905922281
S96-A31,T45_2,Unknown,1,Itgb5,Test,999,0,Fail,0.0104468905922281
S96-A32,T45_2,Unknown,1,Ncam2,Test,999,0,Fail,0.0104468905922281
S96-A33,T45_2,Unknown,1,Pax3,Test,999,0,Fail,0.0104468905922281
S96-A34,T45_2,Unknown,1,Robo2,Test,999,0,Fail,0.0104468905922281
S96-A35,T45_2,Unknown,1,Tgfbr1,Test,28.1564768993031,0.89,Pass,0.0104468905922281
S96-A36,T45_2,Unknown,1,Rhoa,Test,21.9597202005733,0.93,Pass,0.0104468905922281
S96-A37,T45_2,Unknown,1,Ankk1,Test,999,0,Fail,0.0104468905922281
S96-A38,T45_2,Unknown,1,Ccr7,Test,25.5230695562821,0.95,Pass,0.0104468905922281
S96-A39,T45_2,Unknown,1,Cxcl12,Test,24.6613763286065,0.92,Pass,0.0104468905922281
S96-A40,T45_2,Unknown,1,Epha2,Test,23.4737446305837,0.95,Pass,0.0104468905922281
S96-A41,T45_2,Unknown,1,Fgf8,Test,999,0,Fail,0.0104468905922281
S96-A42,T45_2,Unknown,1,Isl1,Test,999,0,Fail,0.0104468905922281
S96-A43,T45_2,Unknown,1,Kdr,Test,999,0,Fail,0.0104468905922281
S96-A44,T45_2,Unknown,1,Nedd9,Test,999,0,Fail,0.0104468905922281
S96-A45,T45_2,Unknown,1,Pcdh1,Test,25.295866694868,0.93,Pass,0.0104468905922281
S96-A46,T45_2,Unknown,1,Runx2,Test,999,0,Fail,0.0104468905922281
S96-A47,T45_2,Unknown,1,Th,Test,26.9911293401286,0.96,Pass,0.0104468905922281
S96-A48,T45_2,Unknown,1,Rplpo,Test,21.6920196841543,0.96,Pass,0.0104468905922281
S96-A54,T45_2,Unknown,1,Itga1,Test,999,0,Fail,0.0104468905922281
S96-A53,T45_2,Unknown,1,Fgfr1,Test,24.2037864532701,0.91,Pass,0.0104468905922281
S96-A52,T45_2,Unknown,1,Epha3,Test,999,0,Fail,0.0104468905922281
S96-A51,T45_2,Unknown,1,Cxcr4,Test,24.140048813385,0.96,Pass,0.0104468905922281
S96-A50,T45_2,Unknown,1,Ccr8,Test,24.2576822085556,0.94,Pass,0.0104468905922281
S96-A49,T45_2,Unknown,1,Aqp1,Test,999,0,Fail,0.0104468905922281
S96-A60,T45_2,Unknown,1,Ywhaz,Test,24.6383728766448,0.97,Pass,0.0104468905922281
S96-A59,T45_2,Unknown,1,Uncb5,Test,999,0,Fail,0.0104468905922281
S96-A58,T45_2,Unknown,1,Slit1,Test,25.65786360858,0.88,Pass,0.0104468905922281
S96-A57,T45_2,Unknown,1,Pcdh19,Test,24.4864377103014,0.93,Pass,0.0104468905922281
S96-A56,T45_2,Unknown,1,Nefm,Test,24.6048325165569,0.93,Pass,0.0104468905922281
S96-A55,T45_2,Unknown,1,Krt15,Test,999,0,Fail,0.0104468905922281
S96-A66,T45_2,Unknown,1,Itga4,Test,24.1936903358757,0.96,Pass,0.0104468905922281
S96-A65,T45_2,Unknown,1,Fgfr2,Test,999,0,Fail,0.0104468905922281
S96-A64,T45_2,Unknown,1,Epha4,Test,23.4171667609095,0.91,Pass,0.0104468905922281
S96-A63,T45_2,Unknown,1,Cxcr5,Test,23.9580726821636,0.88,Pass,0.0104468905922281
S96-A62,T45_2,Unknown,1,Cdh11,Test,24.9927025292622,0.94,Pass,0.0104468905922281
S96-A61,T45_2,Unknown,1,Bambi,Test,23.9542266695206,0.95,Pass,0.0104468905922281
S96-A72,T45_2,Unknown,1,Nes,Test,26.4561659223601,0.86,Pass,0.0104468905922281
S96-A71,T45_2,Unknown,1,Vcam,Test,999,0,Fail,0.0104468905922281
S96-A70,T45_2,Unknown,1,Slit2,Test,23.4527544482222,0.97,Pass,0.0104468905922281
S96-A69,T45_2,Unknown,1,Pdgfrl,Test,24.3530462176086,0.97,Pass,0.0104468905922281
S96-A68,T45_2,Unknown,1,Notch1,Test,22.4303254010658,0.92,Pass,0.0104468905922281
S96-A67,T45_2,Unknown,1,Mbp,Test,999,0,Fail,0.0104468905922281
S96-A78,T45_2,Unknown,1,Itga6,Test,999,0,Fail,0.0104468905922281
S96-A77,T45_2,Unknown,1,Fgfr3,Test,24.507850663397,0.97,Pass,0.0104468905922281
S96-A76,T45_2,Unknown,1,Epha6,Test,999,0,Fail,0.0104468905922281
S96-A75,T45_2,Unknown,1,Dlx5,Test,999,0,Fail,0.0104468905922281
S96-A74,T45_2,Unknown,1,Cdh2,Test,26.2228110637491,0.89,Pass,0.0104468905922281
S96-A73,T45_2,Unknown,1,Bmpr1a,Test,999,0,Fail,0.0104468905922281
S96-A84,T45_2,Unknown,1,Bdnf,Test,23.6430286796615,0.98,Pass,0.0104468905922281
S96-A83,T45_2,Unknown,1,Wisp1,Test,999,0,Fail,0.0104468905922281
S96-A82,T45_2,Unknown,1,Snail1,Test,24.6517062297159,0.9,Pass,0.0104468905922281
S96-A81,T45_2,Unknown,1,Perp,Test,999,0,Fail,0.0104468905922281
S96-A80,T45_2,Unknown,1,Nrg1,Test,999,0,Fail,0.0104468905922281
S96-A79,T45_2,Unknown,1,Mitf,Test,999,0,Fail,0.0104468905922281
S96-A90,T45_2,Unknown,1,Itga9,Test,24.2971686703531,0.96,Pass,0.0104468905922281
S96-A89,T45_2,Unknown,1,Foxd3,Test,23.084754248622,0.96,Pass,0.0104468905922281
S96-A88,T45_2,Unknown,1,Ephb1,Test,22.7680195943528,0.98,Pass,0.0104468905922281
S96-A87,T45_2,Unknown,1,Dsp,Test,999,0,Fail,0.0104468905922281
S96-A86,T45_2,Unknown,1,Cdh6,Test,999,0,Fail,0.0104468905922281
S96-A85,T45_2,Unknown,1,Bmpr1b,Test,27.0194996267693,0.86,Pass,0.0104468905922281
S96-A96,T45_2,Unknown,1,Alk,Test,999,0,Fail,0.0104468905922281
S96-A95,T45_2,Unknown,1,Actb,Test,20.1053700061955,0.92,Pass,0.0104468905922281
S96-A94,T45_2,Unknown,1,Sox10,Test,23.3956235228894,0.9,Pass,0.0104468905922281
S96-A93,T45_2,Unknown,1,Phox2b,Test,999,0,Fail,0.0104468905922281
S96-A92,T45_2,Unknown,1,Nrg2,Test,999,0,Fail,0.0104468905922281
S96-A91,T45_2,Unknown,1,Mmp2,Test,24.8308378173773,0.94,Pass,0.0104468905922281
S06-A01,T0_2,Unknown,1,Adam10,Test,25.2588984799342,0.94,Pass,0.0104468905922281
S06-A02,T0_2,Unknown,1,Ccl19,Test,999,0,Fail,0.0104468905922281
S06-A03,T0_2,Unknown,1,Cdh7,Test,25.8211700296875,0.96,Pass,0.0104468905922281
S06-A04,T0_2,Unknown,1,Ednra,Test,999,0,Fail,0.0104468905922281
S06-A05,T0_2,Unknown,1,Ephb3,Test,27.3896599733271,0.83,Pass,0.0104468905922281
S06-A06,T0_2,Unknown,1,Gpc3,Test,23.9120604854872,0.92,Pass,0.0104468905922281
S06-A07,T0_2,Unknown,1,Itgav,Test,999,0,Fail,0.0104468905922281
S06-A08,T0_2,Unknown,1,Mmp9,Test,999,0,Fail,0.0104468905922281
S06-A09,T0_2,Unknown,1,Nrp1,Test,24.6227048141565,0.98,Pass,0.0104468905922281
S06-A10,T0_2,Unknown,1,Pkp2,Test,19.0834955435582,0.95,Pass,0.0104468905922281
S06-A11,T0_2,Unknown,1,Spon1,Test,25.6662561463592,0.85,Pass,0.0104468905922281
