Chip Run Info,S:\Genomics\Real_time_PCR\Projects\Fluidigm\Kulesa_Lab_Fluidigm\1361967100_MORRISON_KULESA_STOWERS_Integrate & Switch2_20140212\ChipRun.bml,1361967100,96.96 (136x),GE 96x96 Standard v1,ROX,FAM-MGB,2/12/2014 1:33:03 PM,01:35:07,BIOMARK046
Application Version,3.1.3
Application Build,20111121.1125
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S96-A01,NT,Unknown,1,Adam10,Test,999,0,Fail,0.0105481044826664
S96-A02,NT,Unknown,1,Ccl19,Test,999,0,Fail,0.0105481044826664
S96-A03,NT,Unknown,1,Cdh7,Test,999,0,Fail,0.0105481044826664
S96-A04,NT,Unknown,1,Ednra,Test,999,0,Fail,0.0105481044826664
S96-A05,NT,Unknown,1,Ephb3,Test,999,0,Fail,0.0105481044826664
S96-A06,NT,Unknown,1,Gpc3,Test,999,0,Fail,0.0105481044826664
S96-A07,NT,Unknown,1,Itgav,Test,999,0,Fail,0.0105481044826664
S96-A08,NT,Unknown,1,Mmp9,Test,999,0,Fail,0.0105481044826664
S96-A09,NT,Unknown,1,Nrp1,Test,999,0,Fail,0.0105481044826664
S96-A10,NT,Unknown,1,Pkp2,Test,999,0,Fail,0.0105481044826664
S96-A11,NT,Unknown,1,Spon1,Test,999,0,Fail,0.0105481044826664
S96-A12,NT,Unknown,1,Gapdh,Test,999,0,Fail,0.0105481044826664
S96-A13,NT,Unknown,1,Adam33,Test,999,0,Fail,0.0105481044826664
S96-A14,NT,Unknown,1,Ccr4,Test,999,0,Fail,0.0105481044826664
S96-A15,NT,Unknown,1,Cfc1b,Test,999,0,Fail,0.0105481044826664
S96-A16,NT,Unknown,1,Elav4,Test,999,0,Fail,0.0105481044826664
S96-A17,NT,Unknown,1,Erbb2,Test,999,0,Fail,0.0105481044826664
S96-A18,NT,Unknown,1,Hand2,Test,999,0,Fail,0.0105481044826664
S96-A19,NT,Unknown,1,Itgb1,Test,999,0,Fail,0.0105481044826664
S96-A20,NT,Unknown,1,Msx1,Test,999,0,Fail,0.0105481044826664
S96-A21,NT,Unknown,1,Nrp2,Test,999,0,Fail,0.0105481044826664
S96-A22,NT,Unknown,1,Robo1,Test,999,0,Fail,0.0105481044826664
S96-A23,NT,Unknown,1,Tfap2a,Test,999,0,Fail,0.0105481044826664
S96-A24,NT,Unknown,1,Hprt,Test,999,0,Fail,0.0105481044826664
S96-A25,NT,Unknown,1,Angpt2,Test,999,0,Fail,0.0105481044826664
S96-A26,NT,Unknown,1,Ccr5,Test,999,0,Fail,0.0105481044826664
S96-A27,NT,Unknown,1,Col2a1,Test,999,0,Fail,0.0105481044826664
S96-A28,NT,Unknown,1,Epha1,Test,999,0,Fail,0.0105481044826664
S96-A29,NT,Unknown,1,Fgf4,Test,999,0,Fail,0.0105481044826664
S96-A30,NT,Unknown,1,Il8,Test,999,0,Fail,0.0105481044826664
S96-A31,NT,Unknown,1,Itgb5,Test,999,0,Fail,0.0105481044826664
S96-A32,NT,Unknown,1,Ncam2,Test,999,0,Fail,0.0105481044826664
S96-A33,NT,Unknown,1,Pax3,Test,999,0,Fail,0.0105481044826664
S96-A34,NT,Unknown,1,Robo2,Test,999,0,Fail,0.0105481044826664
S96-A35,NT,Unknown,1,Tgfbr1,Test,999,0,Fail,0.0105481044826664
S96-A36,NT,Unknown,1,Rhoa,Test,999,0,Fail,0.0105481044826664
S96-A37,NT,Unknown,1,Ankk1,Test,999,0,Fail,0.0105481044826664
S96-A38,NT,Unknown,1,Ccr7,Test,999,0,Fail,0.0105481044826664
S96-A39,NT,Unknown,1,Cxcl12,Test,999,0,Fail,0.0105481044826664
S96-A40,NT,Unknown,1,Epha2,Test,999,0,Fail,0.0105481044826664
S96-A41,NT,Unknown,1,Fgf8,Test,999,0,Fail,0.0105481044826664
S96-A42,NT,Unknown,1,Isl1,Test,999,0,Fail,0.0105481044826664
S96-A43,NT,Unknown,1,Kdr,Test,999,0,Fail,0.0105481044826664
S96-A44,NT,Unknown,1,Nedd9,Test,999,0,Fail,0.0105481044826664
S96-A45,NT,Unknown,1,Pcdh1,Test,999,0,Fail,0.0105481044826664
S96-A46,NT,Unknown,1,Runx2,Test,999,0,Fail,0.0105481044826664
S96-A47,NT,Unknown,1,Th,Test,999,0,Fail,0.0105481044826664
S96-A48,NT,Unknown,1,Rplpo,Test,999,0,Fail,0.0105481044826664
S96-A54,NT,Unknown,1,Itga1,Test,999,0,Fail,0.0105481044826664
S96-A53,NT,Unknown,1,Fgfr1,Test,999,0,Fail,0.0105481044826664
S96-A52,NT,Unknown,1,Epha3,Test,999,0,Fail,0.0105481044826664
S96-A51,NT,Unknown,1,Cxcr4,Test,999,0,Fail,0.0105481044826664
S96-A50,NT,Unknown,1,Ccr8,Test,999,0,Fail,0.0105481044826664
S96-A49,NT,Unknown,1,Aqp1,Test,999,0,Fail,0.0105481044826664
S96-A60,NT,Unknown,1,Ywhaz,Test,999,0,Fail,0.0105481044826664
S96-A59,NT,Unknown,1,Uncb5,Test,999,0,Fail,0.0105481044826664
S96-A58,NT,Unknown,1,Slit1,Test,999,0,Fail,0.0105481044826664
S96-A57,NT,Unknown,1,Pcdh19,Test,999,0,Fail,0.0105481044826664
S96-A56,NT,Unknown,1,Nefm,Test,999,0,Fail,0.0105481044826664
S96-A55,NT,Unknown,1,Krt15,Test,999,0,Fail,0.0105481044826664
S96-A66,NT,Unknown,1,Itga4,Test,999,0,Fail,0.0105481044826664
S96-A65,NT,Unknown,1,Fgfr2,Test,999,0,Fail,0.0105481044826664
S96-A64,NT,Unknown,1,Epha4,Test,999,0,Fail,0.0105481044826664
S96-A63,NT,Unknown,1,Cxcr5,Test,999,0,Fail,0.0105481044826664
S96-A62,NT,Unknown,1,Cdh11,Test,999,0,Fail,0.0105481044826664
S96-A61,NT,Unknown,1,Bambi,Test,999,0,Fail,0.0105481044826664
S96-A72,NT,Unknown,1,Nes,Test,999,0,Fail,0.0105481044826664
S96-A71,NT,Unknown,1,Vcam,Test,999,0,Fail,0.0105481044826664
S96-A70,NT,Unknown,1,Slit2,Test,999,0,Fail,0.0105481044826664
S96-A69,NT,Unknown,1,Pdgfrl,Test,999,0,Fail,0.0105481044826664
S96-A68,NT,Unknown,1,Notch1,Test,999,0,Fail,0.0105481044826664
S96-A67,NT,Unknown,1,Mbp,Test,999,0,Fail,0.0105481044826664
S96-A78,NT,Unknown,1,Itga6,Test,999,0,Fail,0.0105481044826664
S96-A77,NT,Unknown,1,Fgfr3,Test,999,0,Fail,0.0105481044826664
S96-A76,NT,Unknown,1,Epha6,Test,999,0,Fail,0.0105481044826664
S96-A75,NT,Unknown,1,Dlx5,Test,999,0,Fail,0.0105481044826664
S96-A74,NT,Unknown,1,Cdh2,Test,999,0,Fail,0.0105481044826664
S96-A73,NT,Unknown,1,Bmpr1a,Test,999,0,Fail,0.0105481044826664
S96-A84,NT,Unknown,1,Bdnf,Test,999,0,Fail,0.0105481044826664
S96-A83,NT,Unknown,1,Wisp1,Test,999,0,Fail,0.0105481044826664
S96-A82,NT,Unknown,1,Snail1,Test,999,0,Fail,0.0105481044826664
S96-A81,NT,Unknown,1,Perp,Test,999,0,Fail,0.0105481044826664
S96-A80,NT,Unknown,1,Nrg1,Test,999,0,Fail,0.0105481044826664
S96-A79,NT,Unknown,1,Mitf,Test,999,0,Fail,0.0105481044826664
S96-A90,NT,Unknown,1,Itga9,Test,999,0,Fail,0.0105481044826664
S96-A89,NT,Unknown,1,Foxd3,Test,999,0,Fail,0.0105481044826664
S96-A88,NT,Unknown,1,Ephb1,Test,999,0,Fail,0.0105481044826664
S96-A87,NT,Unknown,1,Dsp,Test,999,0,Fail,0.0105481044826664
S96-A86,NT,Unknown,1,Cdh6,Test,999,0,Fail,0.0105481044826664
S96-A85,NT,Unknown,1,Bmpr1b,Test,999,0,Fail,0.0105481044826664
S96-A96,NT,Unknown,1,Alk,Test,999,0,Fail,0.0105481044826664
S96-A95,NT,Unknown,1,Actb,Test,999,0,Fail,0.0105481044826664
S96-A94,NT,Unknown,1,Sox10,Test,999,0,Fail,0.0105481044826664
S96-A93,NT,Unknown,1,Phox2b,Test,999,0,Fail,0.0105481044826664
S96-A92,NT,Unknown,1,Nrg2,Test,999,0,Fail,0.0105481044826664
S96-A91,NT,Unknown,1,Mmp2,Test,999,0,Fail,0.0105481044826664
S06-A01,V8_1,Unknown,1,Adam10,Test,23.770334105029,0.98,Pass,0.0105481044826664
S06-A02,V8_1,Unknown,1,Ccl19,Test,999,0,Fail,0.0105481044826664
S06-A03,V8_1,Unknown,1,Cdh7,Test,22.2466650503403,0.94,Pass,0.0105481044826664
S06-A04,V8_1,Unknown,1,Ednra,Test,999,0,Fail,0.0105481044826664
S06-A05,V8_1,Unknown,1,Ephb3,Test,999,0,Fail,0.0105481044826664
S06-A06,V8_1,Unknown,1,Gpc3,Test,24.614216957058,0.85,Pass,0.0105481044826664
S06-A07,V8_1,Unknown,1,Itgav,Test,25.7080237338904,0.93,Pass,0.0105481044826664
S06-A08,V8_1,Unknown,1,Mmp9,Test,999,0,Fail,0.0105481044826664
S06-A09,V8_1,Unknown,1,Nrp1,Test,24.659450846957,0.98,Pass,0.0105481044826664
S06-A10,V8_1,Unknown,1,Pkp2,Test,19.0425290177805,0.94,Pass,0.0105481044826664
S06-A11,V8_1,Unknown,1,Spon1,Test,22.6568880726075,0.89,Pass,0.0105481044826664
S06-A12,V8_1,Unknown,1,Gapdh,Test,20.3448158748736,0.89,Pass,0.0105481044826664
S06-A13,V8_1,Unknown,1,Adam33,Test,25.871691123138,0.85,Pass,0.0105481044826664
S06-A14,V8_1,Unknown,1,Ccr4,Test,21.7523696150867,0.95,Pass,0.0105481044826664
S06-A15,V8_1,Unknown,1,Cfc1b,Test,25.3797963713556,0.94,Pass,0.0105481044826664
S06-A16,V8_1,Unknown,1,Elav4,Test,999,0,Fail,0.0105481044826664
S06-A17,V8_1,Unknown,1,Erbb2,Test,26.26792240233,0.84,Pass,0.0105481044826664
S06-A18,V8_1,Unknown,1,Hand2,Test,999,0,Fail,0.0105481044826664
S06-A19,V8_1,Unknown,1,Itgb1,Test,22.3031513262246,0.93,Pass,0.0105481044826664
S06-A20,V8_1,Unknown,1,Msx1,Test,999,0,Fail,0.0105481044826664
S06-A21,V8_1,Unknown,1,Nrp2,Test,21.5222086244441,0.96,Pass,0.0105481044826664
S06-A22,V8_1,Unknown,1,Robo1,Test,24.1923371834928,0.93,Pass,0.0105481044826664
