Samples,Actb ,Adam10 ,Adam33 ,Alk ,Angpt2 ,Ankk1 ,Aqp1 ,Bambi ,Bdnf ,Bmpr1a ,Bmpr1b ,Ccl19 ,Ccr4 ,Ccr5 ,Ccr7 ,Ccr8 ,Cdh11 ,Cdh2 ,Cdh6 ,Cdh7 ,Cfc1b ,Col2a1 ,Cxcl12 ,Cxcr4 ,Cxcr5 ,Dlx5 ,Dsp ,Ednra ,Elav4 ,Epha1 ,Epha2 ,Epha3 ,Epha4 ,Epha6 ,Ephb1 ,Ephb3 ,Erbb2 ,Fgf4 ,Fgf8 ,Fgfr1 ,Fgfr2 ,Fgfr3 ,Foxd3 ,Gapdh ,Gpc3 ,Hand2 ,Hprt ,Il8 ,Isl1 ,Itga1 ,Itga4 ,Itga6 ,Itga9 ,Itgav ,Itgb1 ,Itgb5 ,Kdr ,Krt15 ,Mbp ,Mitf ,Mmp2 ,Mmp9 ,Msx1 ,Ncam2 ,Nedd9 ,Nefm ,Nes ,Notch1 ,Nrg1 ,Nrg2 ,Nrp1 ,Nrp2 ,Pax3 ,Pcdh1 ,Pcdh19 ,Pdgfrl ,Perp ,Phox2b ,Pkp2 ,Rhoa ,Robo1 ,Robo2 ,Rplpo ,Runx2 ,Slit1 ,Slit2 ,S0il1 ,Sox10 ,Spon1 ,Tfap2a ,Tgfbr1 ,Th ,Uncb5 ,Vcam ,Wisp1 ,Ywhaz ,
Baseline_1,-2.29E-01,-1.09E-01,2.56E-02,0,0,5.05E-01,0,2.21E-01,3.87E-01,-5.22E-02,-1.08E-01,0,3.68E-01,2.33E-01,0,4.18E-01,2.10E-03,-5.26E-02,2.42E-01,-1.12E-01,1.31E-02,1.47E-01,5.30E-02,-1.61E-01,3.51E-01,0,2.50E-01,8.87E-02,0,0,2.98E-01,-1.03E-01,-3.58E-01,0,-1.72E-01,2.49E-01,2.90E-01,0,0,-3.08E-01,-1.36E+00,-3.62E-01,6.37E-02,9.65E-02,-1.76E-01,0,3.35E-01,0,0,2.88E-01,1.66E-02,1.49E-01,-1.47E-02,1.67E-01,1.04E-01,1.71E-01,0,1.80E-02,0,2.49E-01,2.36E-01,0,0,0,0,-3.09E-01,-1.33E-01,-3.01E-01,0,0,1.61E-01,-1.37E-01,-4.45E-01,2.61E-01,2.60E-02,2.39E-01,0.00E+00,2.91E-01,1.09E-01,1.33E-01,2.13E-02,-3.78E-01,-8.43E-02,0,-3.66E-02,0,2.97E-01,-6.21E-02,-8.49E-02,2.49E-02,1.29E-01,0,0,0,0,-1.52E-01,28
Baseline_2,-6.43E-02,-2.12E-02,-2.52E-01,-4.54E-01,-1.86E-01,0,2.76E-01,-3.91E-01,1.45E-01,-2.50E-03,-2.35E-01,0.00E+00,1.71E-02,-5.14E-02,0,1.72E-01,-1.68E-01,-1.96E-04,0,-1.46E-01,-5.05E-02,3.74E-02,9.94E-02,-1.11E-02,1.46E-01,0,1.45E-01,0,0,0,1.87E-01,-2.75E-01,-1.11E-01,0,-6.25E-03,2.17E-01,1.49E-01,0,0,4.86E-02,4.18E-01,4.01E-02,-1.70E-01,4.84E-02,-3.12E-01,0,-3.11E-02,3.83E-01,0,1.36E-01,-2.46E-01,7.57E-02,-1.56E-01,-9.42E-02,7.85E-03,-2.38E-01,-2.27E-01,-1.63E-01,0,0,-1.17E-01,9.33E-02,0,0,1.61E-01,5.15E-02,1.91E-01,1.00E-01,0,0,-6.25E-02,-6.87E-02,-4.57E-01,-4.22E-02,-2.16E-01,-1.80E-01,0,0,3.97E-02,1.59E-02,-2.44E-01,-2.09E-01,-3.81E-02,0,-6.64E-02,2.25E-01,6.05E-01,-1.30E-01,4.92E-02,-4.30E-01,-1.25E-01,0,4.30E-01,0,0,4.82E-02,24
Baseline_3,3.79E-02,-8.92E-02,4.27E-02,3.32E-01,0,-1.99E-01,-6.41E-01,-4.19E-01,-7.24E-01,-2.45E-01,-4.09E-01,0,-6.27E-01,-5.43E-01,0.00E+00,-4.20E-01,-1.44E-01,-1.13E-01,-1.39E-01,7.30E-02,-7.35E-01,-3.38E-01,-7.18E-01,-2.37E-01,-5.14E-01,0,-2.83E-01,0,0,0.00E+00,-2.09E-01,0,-1.63E-01,0,-1.72E-01,-4.75E-01,-1.00E+00,0,3.80E-01,-3.46E-01,-1.68E-01,-2.38E-01,-8.03E-02,2.03E-02,-1.63E-01,0,-2.69E-01,-8.41E-02,0,-1.59E-01,-1.26E-01,-4.18E-01,-1.97E-01,-4.12E-01,-2.67E-01,-3.24E-01,-1.40E-01,-6.64E-01,0,1.80E-01,-7.47E-01,-9.33E-02,0,0,2.00E-01,1.67E-01,-2.91E-01,-1.20E-01,0,0,-8.86E-01,-3.04E-02,-4.43E-02,-1.92E-01,-5.73E-01,-3.10E-01,0,-2.91E-01,-4.73E-01,-5.82E-02,-2.82E-01,-3.26E-01,-1.45E-01,0.00E+00,-2.23E-01,4.53E-02,-3.46E-01,-2.24E-02,-2.37E-01,-8.91E-02,-4.86E-01,0,-2.85E-01,0,0,-3.77E-02,19
Baseline_4,9.14E-02,1.92E-01,1.84E-01,1.23E-01,-7.21E-01,-3.06E-01,-6.22E-01,-3.24E-01,-5.14E-01,3.00E-01,8.95E-02,0,-6.71E-01,-8.54E-01,0,-1.08E+00,3.95E-01,1.40E-01,-1.02E-01,1.74E-01,-2.75E-01,1.06E-01,1.31E-01,-2.56E-01,-8.09E-01,0,-1.12E-01,-8.87E-02,-8.54E-01,0,-2.77E-01,3.78E-01,2.31E-01,0,-2.73E-01,9.29E-03,-7.17E-02,0,-3.80E-01,-1.01E-01,5.54E-01,6.36E-02,-2.65E-02,8.48E-02,-4.75E-01,0.00E+00,-4.88E-01,-2.99E-01,0.00E+00,-2.65E-01,2.93E-01,1.94E-01,2.65E-01,3.39E-01,1.89E-01,3.91E-01,3.67E-01,0,0,-4.29E-01,6.28E-01,0,-7.60E-01,0.00E+00,-3.61E-01,-9.09E-01,-4.88E-01,-1.68E-01,0.00E+00,0,4.80E-01,2.96E-01,2.26E-02,-2.63E-02,1.73E-01,-1.32E-01,0,0,-6.54E-01,-1.76E-01,2.15E-01,1.02E-01,-1.96E-01,0,-3.32E-01,-2.71E-01,-5.56E-01,8.73E-02,1.44E-01,2.40E-02,9.36E-02,0,-1.45E-01,0,0,-2.15E-01,16
Baseline_5,1.64E-01,2.68E-02,0,0,9.07E-01,0,9.87E-01,9.13E-01,7.06E-01,0,6.62E-01,0,9.14E-01,1.22E+00,0,9.14E-01,-8.58E-02,2.57E-02,0,1.16E-02,1.05E+00,4.80E-02,4.34E-01,6.65E-01,8.26E-01,0,0,0,8.54E-01,0,0,0,4.01E-01,0,6.23E-01,0,6.33E-01,0,0,7.07E-01,5.52E-01,4.96E-01,2.13E-01,-2.50E-01,1.13E+00,0,4.53E-01,0,0,0,6.24E-02,0,1.03E-01,0,-3.33E-02,0,0,8.10E-01,0,0,0,0,7.60E-01,0,0,1.00E+00,7.20E-01,4.88E-01,0,0.00E+00,3.08E-01,-6.08E-02,9.23E-01,0,5.90E-01,3.84E-01,0,0,9.78E-01,8.57E-02,2.89E-01,8.12E-01,4.64E-01,0,6.59E-01,0,0,1.27E-01,1.28E-01,4.71E-01,3.88E-01,0,0,0,0,3.56E-01,42
2hrs VEGF_1,-4.39E-02,-4.31E-01,-5.26E-01,-3.84E-01,0,-3.78E-01,-1.32E+00,-5.77E-01,2.45E-01,-6.37E-01,-5.90E-01,0,2.25E-01,5.70E-01,-5.64E-01,4.95E-01,-5.92E-02,-1.63E-01,-2.93E-01,-2.43E-01,-9.63E-01,-4.56E-01,-6.52E-01,-3.75E-01,2.48E-01,0,1.01E-01,-1.08E+00,-1.20E+00,-1.41E-01,3.38E-01,-9.80E-01,-2.15E-01,0,-8.28E-01,-4.55E-01,-1.19E+00,0,-3.68E-01,-4.16E-01,-3.79E-01,-7.02E-01,-1.83E-01,9.77E-02,-4.03E-01,0,-2.50E-01,2.52E-01,-1.21E-01,-1.16E+00,-6.14E-01,-4.28E-01,-4.37E-01,-1.05E-01,-2.51E-01,-2.63E-01,-4.02E-01,-5.45E-01,0,-2.87E-01,-2.52E-01,-1.20E+00,0,-9.43E-02,-8.71E-01,-1.08E+00,-4.55E-01,-4.21E-01,-5.01E-01,0,-4.79E-01,-3.42E-01,-2.16E-01,-5.09E-01,-1.64E-01,-5.54E-01,-4.36E-01,-8.15E-01,-1.07E+00,-5.38E-02,-4.64E-01,-7.26E-01,-2.82E-01,-5.52E-01,-1.45E+00,-2.41E-01,-8.21E-02,-7.93E-02,-1.16E-01,-2.05E-01,-4.00E-01,0,-3.21E-01,0,0,-1.18E-01,12
2hrs VEGF_2,8.16E-02,-7.13E-01,-8.02E-01,7.51E-01,-8.80E-01,-1.11E-01,-2.47E-01,-3.77E-01,-7.33E-01,-6.47E-01,-4.77E-01,0,-1.04E+00,-8.80E-01,0,-1.06E+00,-4.44E-01,-3.73E-01,-4.08E-02,-2.99E-01,-3.66E-01,-5.90E-01,-6.77E-01,-2.49E-01,-8.58E-01,0,-2.58E-01,-5.38E-01,0,0,-5.01E-01,-8.73E-01,-9.51E-02,0,-5.91E-01,-5.42E-01,-4.05E-01,0,-2.67E-01,-4.70E-01,1.24E-01,-7.32E-01,-4.33E-01,6.01E-02,-1.91E-01,0,-3.10E-01,0,0,0,-5.10E-01,-4.30E-01,-5.70E-01,-4.83E-01,-5.37E-01,-8.97E-01,0,-5.36E-01,0,0,5.90E-02,0,-7.32E-01,0,-3.83E-01,-5.62E-01,-6.14E-01,-5.45E-01,0,0,-1.01E+00,-2.47E-01,-2.13E-01,-4.43E-01,-5.73E-01,-1.01E+00,-6.16E-01,0,-4.60E-01,-1.42E-01,-4.03E-01,-7.05E-01,-3.77E-01,0,-3.89E-01,2.85E-02,-1.85E-01,-5.14E-01,-4.22E-01,-4.23E-02,-3.20E-01,0,-5.83E-01,0,0,-2.52E-01,23
2hrs VEGF_3,7.67E-03,-7.33E-02,2.44E-01,2.91E-01,-4.42E-01,2.13E-01,-2.55E-01,-4.62E-01,-7.36E-01,8.66E-02,-2.49E-01,0,-7.85E-01,-6.28E-01,0,-7.27E-01,-3.28E-02,1.11E-03,-2.68E-01,-2.84E-01,-4.49E-01,-1.94E-01,-9.84E-02,-1.51E-01,-9.28E-01,0,-3.63E-01,-5.22E-01,0,-1.40E-02,1.31E-01,-8.61E-02,4.68E-01,0,-5.97E-02,1.20E-01,1.30E-01,0,0,-9.77E-02,2.51E-01,-7.15E-02,-2.73E-01,1.69E-01,-9.05E-01,0,-2.98E-01,0,3.41E-01,-1.72E-01,-3.35E-01,-1.33E-01,-1.12E-01,-3.89E-03,-1.39E-01,-1.09E-01,1.81E-01,0,0,2.03E-01,4.91E-01,0,0,0,-5.01E-01,-5.44E-01,-9.61E-02,-1.32E-01,7.59E-02,-6.76E-02,6.11E-02,1.03E-01,3.45E-02,2.75E-01,-6.48E-02,-5.28E-01,0,0,-5.14E-01,-1.77E-01,-5.66E-02,4.58E-02,-3.04E-02,0,4.21E-02,2.54E-02,-2.00E-01,-7.39E-02,7.49E-02,-2.70E-01,-5.16E-01,0,-5.88E-01,0,0,-1.31E-01,20
2hrs VEGF_4,2.32E-02,-5.66E-01,-1.16E+00,0,0,-4.27E-01,-7.20E-01,-9.14E-01,-1.37E+00,-2.94E-01,-1.52E+00,0,-9.77E-01,-6.45E-01,0,-1.13E+00,-1.05E-01,-7.88E-01,-5.52E-01,-4.85E-01,-7.52E-01,-1.29E+00,-1.67E+00,-4.87E-01,-1.12E+00,0,-8.48E-01,-4.97E-01,-1.34E+00,-7.37E-01,-1.12E+00,0,-1.23E+00,0,-1.67E+00,-1.04E+00,-1.28E+00,0,0,-1.12E+00,-1.39E+00,-1.30E+00,-2.04E-01,1.37E-01,-8.67E-01,0,-7.93E-01,0,0,-1.03E+00,-2.19E-01,-1.25E+00,-8.00E-01,-6.73E-01,-6.82E-01,-5.34E-01,0,0,0,-6.81E-03,-1.61E+00,0,0,0,-8.49E-01,-1.56E+00,-1.60E+00,-1.61E+00,0,0,-1.15E+00,-5.20E-01,-2.88E-01,-7.35E-01,-1.65E+00,-1.31E+00,0,0,-9.99E-01,-1.60E-01,-5.66E-01,-1.41E+00,-5.36E-01,0,-1.26E+00,-9.58E-01,0,7.39E-02,-6.47E-01,2.60E-02,-1.36E+00,0,0,0,0,-7.03E-02,28
2hrs VEGF_5,-1.33E-01,-1.33E-01,-2.91E-01,1.11E+00,0,0,1.95E-01,2.95E-01,-7.09E-01,-2.18E-01,-3.81E-02,0,-2.77E-01,-5.44E-02,0,-7.13E-01,-4.24E-01,-2.76E-01,-1.47E-01,-5.17E-01,2.38E-02,-7.25E-02,-6.57E-02,-1.06E-01,-4.26E-01,0,1.39E-01,0,-2.87E-01,1.57E-01,-2.46E-01,-2.52E-01,-4.34E-01,0,4.94E-02,-1.89E-01,-3.45E-01,0,0,-4.58E-02,5.85E-01,-1.93E-01,-2.03E-01,8.19E-02,-2.19E-02,0,-1.67E-01,0,0,0,-8.91E-01,-1.42E-01,-5.91E-01,-3.45E-01,-6.55E-01,-2.09E-01,0,0,0,4.01E-01,-4.87E-01,0,-3.04E-01,0,0,4.96E-01,2.47E-02,-1.34E-01,0,0,-5.44E-01,-1.71E-01,1.61E-01,-2.96E-01,-1.19E-01,-1.29E-01,0,4.91E-02,-3.27E-02,5.13E-02,-4.63E-01,-1.96E-01,7.11E-02,0,0,2.98E-02,-6.09E-02,-6.72E-02,-7.85E-01,2.30E-01,-4.75E-01,0,0,0,0,2.22E-03,28
