Samples	Baseline	T00	T02	T04	T08	T16	T30	T45	T90	V02	V04	V08	V16	V30	V45	V90
Actb 	1.05E+00	9.48E-01	1.36E+00	1.25E+00	1.36E+00	1.03E+00	1.34E+00	1.16E+00	1.24E+00	1.13E+00	1.37E+00	1.23E+00	1.45E+00	1.27E+00	1.28E+00	1.26E+00
Adam10 	1.03E+00	5.00E-01	7.40E-01	1.34E+00	7.51E-01	7.04E-01	5.89E-01	9.29E-01	6.62E-01	3.76E-01	5.79E-01	7.14E-01	1.77E+00	6.77E-01	7.82E-01	2.90E-01
Adam33 	1.06E+00	6.86E-01	4.83E-01	1.44E+00	8.41E-01	7.15E-01	7.96E-01	1.36E+00	6.97E-01	4.54E-01	5.35E-01	8.51E-01	1.90E+00	5.84E-01	8.73E-01	1.34E+00
Alk 	1.27E+00	5.24E+00		3.18E+01	2.35E+00	1.48E+00	7.31E-01	2.08E+00	6.46E+00	1.02E+00	3.51E+00	1.28E+01	1.67E+00	Err:512	4.24E+00	7.34E-01
Angpt2 	2.97E+00	2.47E-01	3.96E-01	5.26E+00	3.43E-01	3.64E-01	2.64E-02	6.30E-01	2.54E-01	8.65E-01	1.01E-01	4.33E-01	8.53E-01	1.23E-01	6.22E-01	9.25E-01
Ankk1 	1.44E+00	7.85E-01	2.67E+00	1.86E+00	2.17E+00	1.90E+00	1.88E+00	2.81E+00	1.17E+00	6.12E-01	6.59E-01	1.43E+00	1.09E+00	1.16E+00	2.71E+00	3.26E-01
Aqp1 	3.02E+00	1.29E+00	9.64E-01	5.61E+00	7.21E-01	6.33E-01	5.97E-01	2.09E+00	1.08E+00	1.21E+00	1.77E-01	1.27E+00	2.08E+00	5.36E-01	8.84E-01	2.74E+00
Bambi 	2.22E+00	1.43E+00	7.79E-01	4.01E+00	9.90E-01	7.55E-01	8.10E-01	9.86E-01	7.36E-01	1.73E+00	2.86E-01	1.09E+00	2.00E+00	3.61E-01	1.41E+00	2.38E+00
Bdnf 	1.88E+00	4.73E-01	1.51E-01	1.88E+00	4.17E-01	2.39E-01	3.33E-01	7.13E-01	3.92E-01	8.61E-01	3.71E-01	1.65E+00	5.90E-01	1.14E-01	9.74E-01	5.15E-01
Bmpr1a 	1.11E+00	8.22E-01	1.09E+00	2.77E+00	6.13E-01	8.29E-01	1.03E+00	1.13E+00	6.56E-01	1.72E+00	8.21E-01	9.48E-01	2.89E+00	1.03E+00	8.01E-01	3.12E-01
Bmpr1b 	1.52E+00	5.13E-01	2.15E-01	1.69E+00	2.21E-01	6.68E-01	4.31E-01	7.06E-01	3.32E-01	9.11E-01	7.04E-01	1.02E+00	9.73E-01	3.77E-01	6.89E-01	8.19E-01
Ccr4 	2.40E+00	6.43E-01	2.04E-01	3.19E+00	2.15E-01	1.67E-01	3.43E-01	9.62E-01	2.78E-01	6.42E-01	3.12E-01	1.15E+00	5.24E-01	1.03E-01	1.07E+00	1.93E-01
Ccr5 	3.89E+00	1.10E+00	4.68E-01	1.69E+01	7.88E-01	2.83E-01	2.94E-01	1.12E+00	3.91E-01	9.66E-01	3.38E-01	1.68E+00	7.86E-01	1.30E-01	1.31E+00	6.76E-01
Ccr7 	1.00E+00	7.56E+00	2.39E+00			1.16E+00	6.38E-02	2.47E+00	2.24E+00	1.02E+01	1.19E-01	1.33E+00				6.80E+00
